$2$,${-1.2}$,${-1.1}$,${-1.2}$,${-1.1}$
$4$,${-1.7}$,${-0.9}$,${-0.6}$,${-0.4}$
$8$,${-2.8}$,${-1.7}$,${-0.9}$,${-0.6}$
$64$,${-7.1}$,${-5.4}$,${-3.9}$,${-2.9}$
$2^{10}$,${-11.1}$,${-9.5}$,${-8.2}$,${-7.5}$
$2^{29}$,${-29.9}$,${-28.9}$,${-27.1}$,${-26.5}$
$2^{31}$,${-31.0}$,${-30.2}$,${-28.8}$,${-28.2}$
