$1$,${0}$,${0}$,${0}$,$32$
$4$,${-0.74}$,${0}$,${-0.74}$,$19$
$64$,${-4.8}$,${0}$,${-4.8}$,$1.1$
$2^{10}$,${-8.8}$,${0}$,${-8.8}$,$0.07$
$2^{16}$,${-15}$,${0}$,${-15}$,$0.0011$
$2^{31}$,${-30}$,${-0.67}$,${-30}$,$3e-08$
