$2$,${-1.2}$,${-1.1}$,${-1.2}$,${-1.1}$,${-31.4}$,${-31.3}$,${-31.2}$,${-31.3}$,${-31.7}$,${-31.7}$,${-31.6}$,${-31.6}$,$0.3$,$0.3$,$0.3$,$0.3$
$4$,${-1.7}$,${-0.9}$,${-0.6}$,${-0.4}$,${-31.0}$,${-30.2}$,${-29.4}$,${-29.0}$,${-31.6}$,${-30.8}$,${-29.8}$,${-29.4}$,$0.3$,$0.9$,$1.8$,$2.2$
$8$,${-2.8}$,${-1.7}$,${-0.9}$,${-0.6}$,${-30.6}$,${-29.3}$,${-28.8}$,${-28.3}$,${-31.7}$,${-30.6}$,${-29.5}$,${-28.9}$,$0.2$,$0.8$,$1.7$,$2.4$
$64$,${-7.1}$,${-5.4}$,${-3.9}$,${-2.9}$,${-27.1}$,${-25.9}$,${-25.2}$,${-25.1}$,${-31.7}$,${-30.6}$,${-28.9}$,${-27.9}$,$0.0$,$0.1$,$0.5$,$0.9$
$2^{10}$,${-11.1}$,${-9.5}$,${-8.2}$,${-7.5}$,${-22.8}$,${-22.0}$,${-21.5}$,${-21.1}$,${-31.7}$,${-30.7}$,${-29.4}$,${-28.5}$,$0.0$,$0.0$,$0.0$,$0.1$
$2^{29}$,${-29.9}$,${-28.9}$,${-27.1}$,${-26.5}$,${-3.4}$,${-2.7}$,${-2.1}$,${-1.9}$,${-31.5}$,${-30.8}$,${-28.9}$,${-28.3}$,$0.0$,$0.0$,$0.0$,$0.0$
$2^{31}$,${-31.0}$,${-30.2}$,${-28.8}$,${-28.2}$,${-1.2}$,${-0.7}$,${-0.4}$,${-0.2}$,${-31.1}$,${-30.4}$,${-29.0}$,${-28.3}$,$0.0$,$0.0$,$0.0$,$0.0$
