nopadding,${-8.3}$,${-1.5}$,${-9.7}$,$0.0$
rand.2,${-8.4}$,${-1.9}$,${-10.2}$,$0.0$
rand.16,${-8.5}$,${-2.3}$,${-10.7}$,$0.0$
rand.64,${-8.5}$,${-2.3}$,${-10.6}$,$0.0$
rand.128,${-9.0}$,${-2.5}$,${-11.3}$,$0.0$
fix.64,${-8.5}$,${-3.8}$,${-12.0}$,$0.0$
fix.256,${\textrm{nan}}$,${\textrm{nan}}$,${\textrm{nan}}$,$\textrm{nan}$
